## Supported OTG Parameter List:
Method	Type	Key
Set/Get Config	Request	flows.{i}.tx_rx.port.rx_names.{i}
Set/Get Config	Request	flows.{i}.tx_rx.device.mode
Set/Get Config	Request	flows.{i}.tx_rx.device.tx_names.{i}
Set/Get Config	Request	flows.{i}.tx_rx.device.rx_names.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.choice
Set/Get Config	Request	flows.{i}.packet.{i}.custom.bytes
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.value
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.auto
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.dst.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.value
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.src.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.ether_type.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.ether_type.value
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.ether_type.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ethernet.ether_type.auto
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.priority.choice
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.priority.value
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.cfi.choice
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.cfi.value
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.id.choice
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.id.value
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.tpid.choice
Set/Get Config	Request	flows.{i}.packet.{i}.vlan.tpid.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.version.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.auto
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.header_length.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.precedence.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.precedence.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.delay.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.delay.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.throughput.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.throughput.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.reliability.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.reliability.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.monetary.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.monetary.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.unused.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.tos.unused.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.dscp.ecn.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.priority.dscp.ecn.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.total_length.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.total_length.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.identification.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.reserved.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.reserved.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.dont_fragment.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.more_fragments.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.fragment_offset.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.values.{i}
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.increment.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.increment.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.increment.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.decrement.start
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.decrement.step
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.time_to_live.decrement.count
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.choice
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.value
Set/Get Config	Request	flows.{i}.packet.{i}.ipv4.protocol.values.{i}
